the_geom,wednesday_attendance,borough,park_or_playground,sunday_attendance,monday_attendance,tuesday_attendance,cartodb_id,thursday_attendance,friday_attendance,saturday_attendance,total_attendance,right_lat,right_lon
,120,Brooklyn,Linden Park,0,0,100,420,90,0,80,390,40.6593,-73.8875
,120,Brooklyn,Linden Park,0,0,100,421,90,0,80,390,40.6587,-73.8867
,44,Queens,Brookville Playground,0,0,31,422,21,0,78,174,40.6632,-73.7414
,554,Manhattan,Thomas Jefferson Park,0,0,454,423,557,712,598,2875,40.7922,-73.9355
,554,Manhattan,Thomas Jefferson Park,0,0,454,424,557,712,598,2875,40.7934,-73.934
,108,Manhattan,Frederick Johnson Park,0,0,90,425,131,100,170,599,40.8248,-73.9355
,207,Manhattan,Union Square,0,0,197,426,247,0,337,988,40.736,-73.9908
,120,Manhattan,Bloomingdale Playground,0,0,0,427,0,0,40,160,40.7993,-73.966
,42,Staten Island,Dugan Playground,0,0,50,428,42,53,73,260,40.5614,-74.1108
,18,Bronx,Echo Park,0,0,96,429,33,0,45,192,40.8492,-73.9013
,40,Bronx,Loreto Playground,0,0,35,430,35,0,32,142,40.8491,-73.8521
,23,Bronx,People's Park,0,0,20,431,54,0,23,120,40.8095,-73.9171
,32,Bronx,Tiffany Playground,0,0,15,432,58,0,57,162,40.8249,-73.8944
,56,Bronx,Martin Van Buren Playground,0,0,0,433,72,0,0,128,40.8353,-73.8959
,37,Bronx,Claremont Park,0,0,33,434,41,0,0,111,40.8424,-73.9091
,37,Bronx,Claremont Park,0,0,33,435,41,0,0,111,40.8379,-73.9081
,42,Brooklyn,Osborn Playground,0,0,40,436,38,25,45,190,40.6557,-73.9061
,47,Brooklyn,Osborn Playground,0,0,35,437,45,50,40,217,40.6557,-73.9061
,0,Brooklyn,Maria Hernandez Park,0,0,0,438,0,0,0,0,40.7036,-73.9234
,0,Brooklyn,Maria Hernandez Park,0,0,0,439,0,0,0,0,40.7028,-73.9243
,60,Brooklyn,Maria Hernandez Park,0,0,45,440,50,40,55,250,40.7036,-73.9234
,60,Brooklyn,Maria Hernandez Park,0,0,45,441,50,40,55,250,40.7028,-73.9243
,60,Brooklyn,Maria Hernandez Park,0,0,60,442,45,41,50,256,40.7036,-73.9234
,60,Brooklyn,Maria Hernandez Park,0,0,60,443,45,41,50,256,40.7028,-73.9243
,65,Brooklyn,Owls Head Park,0,0,50,444,45,67,0,227,40.6394,-74.0308
,65,Brooklyn,Owls Head Park,0,0,50,445,45,67,0,227,40.64,-74.0305
,80,Brooklyn,Linden Park,0,0,100,446,95,100,90,465,40.7486,-73.8619
,80,Brooklyn,Linden Park,0,0,100,447,95,100,90,465,40.6593,-73.8875
,80,Brooklyn,Linden Park,0,0,100,448,95,100,90,465,40.6587,-73.8867
,78,Brooklyn,Linden Park,0,0,100,449,90,90,70,428,40.7486,-73.8619
,78,Brooklyn,Linden Park,0,0,100,450,90,90,70,428,40.6593,-73.8875
,78,Brooklyn,Linden Park,0,0,100,451,90,90,70,428,40.6587,-73.8867
,90,Brooklyn,Carroll Park,0,80,76,452,67,40,0,353,40.6811,-73.9954
,60,Brooklyn,Carroll Park,0,67,90,453,80,0,0,297,40.6811,-73.9954
,45,Queens,Brookville Playground,0,0,48,454,22,18,17,150,40.6632,-73.7414
,50,Queens,Lower Highland Playground,0,0,50,455,30,30,20,180,40.684,-73.8857
,215,Queens,Underhill Playground,0,0,120,456,303,178,324,1140,40.7447,-73.7876
,215,Queens,Underhill Playground,0,0,120,457,303,178,324,1140,40.6767,-73.9657
,284,Manhattan,Union Square,0,0,297,458,258,317,358,1514,40.736,-73.9908
,140,Manhattan,Frederick Johnson Park,0,0,92,459,135,110,63,540,40.8248,-73.9355
,100,Manhattan,Bloomingdale Playground,0,0,120,460,120,130,60,530,40.7993,-73.966
,268,Manhattan,Thomas Jefferson Park,0,0,282,461,0,126,371,1047,40.7922,-73.9355
,268,Manhattan,Thomas Jefferson Park,0,0,282,462,0,126,371,1047,40.7934,-73.934
,83,Manhattan,Frederick Johnson Park,0,0,108,463,0,0,0,191,40.8248,-73.9355
,100,Manhattan,Bloomingdale Playground,0,0,120,464,0,80,0,300,40.7993,-73.966
,0,Manhattan,Union Square,0,0,111,465,250,275,257,893,40.736,-73.9908
,45,Bronx,Tiffany Playground,0,0,50,466,38,54,36,223,40.8249,-73.8944
,34,Bronx,Echo Park,0,0,16,467,15,45,54,164,40.8492,-73.9013
,42,Bronx,Loreto Playground,0,0,39,468,34,36,35,186,40.8491,-73.8521
,85,Bronx,Martin Van Buren Playground,0,0,72,469,82,76,56,371,40.8353,-73.8959
,30,Bronx,People's Park,0,0,14,470,20,16,40,120,40.8095,-73.9171
,31,Bronx,Claremont Park,0,0,36,471,0,37,25,129,40.8424,-73.9091
,31,Bronx,Claremont Park,0,0,36,472,0,37,25,129,40.8379,-73.9081
,43,Staten Island,Dugan Playground,0,0,20,473,32,48,53,196,40.5614,-74.1108
,27,Staten Island,Mahoney Playground,0,0,30,474,25,30,34,146,40.6434,-74.0858
,0,Queens,Lawrence Playground,0,0,70,475,90,45,0,205,40.7484,-73.8338
,50,Queens,Lower Highland Playground,0,0,70,476,50,20,20,210,40.684,-73.8857
,35,Queens,Brookville Playground,0,0,20,477,37,48,15,155,40.6632,-73.7414
,163,Queens,Underhill Playground,0,0,180,478,210,340,475,1368,40.7447,-73.7876
,163,Queens,Underhill Playground,0,0,180,479,210,340,475,1368,40.6767,-73.9657
,18,Bronx,Tiffany Playground,0,0,112,480,55,35,0,220,40.8249,-73.8944
,10,Bronx,Loreto Playground,0,0,44,481,45,63,0,162,40.8491,-73.8521
,57,Bronx,Martin Van Buren Playground,0,0,76,482,83,101,0,317,40.8353,-73.8959
,24,Bronx,Echo Park,0,0,68,483,30,29,0,151,40.8492,-73.9013
,23,Bronx,Claremont Park,0,0,41,484,26,35,0,125,40.8424,-73.9091
,23,Bronx,Claremont Park,0,0,41,485,26,35,0,125,40.8379,-73.9081
,6,Bronx,People's Park,0,0,18,486,20,28,0,72,40.8095,-73.9171
,35,Brooklyn,Osborn Playground,0,0,30,487,33,35,38,171,40.6557,-73.9061
,45,Brooklyn,Maria Hernandez Park,0,0,40,488,50,0,0,135,40.7036,-73.9234
,45,Brooklyn,Maria Hernandez Park,0,0,40,489,50,0,0,135,40.7028,-73.9243
,56,Brooklyn,Owls Head Park,0,0,45,490,60,0,0,161,40.6394,-74.0308
,56,Brooklyn,Owls Head Park,0,0,45,491,60,0,0,161,40.64,-74.0305
,140,Brooklyn,Carroll Park,0,0,150,492,140,150,0,580,40.6811,-73.9954
,100,Brooklyn,Linden Park,0,0,150,493,150,0,0,400,40.7486,-73.8619
,100,Brooklyn,Linden Park,0,0,150,494,150,0,0,400,40.6593,-73.8875
,100,Brooklyn,Linden Park,0,0,150,495,150,0,0,400,40.6587,-73.8867
,100,Brooklyn,Linden Park,0,0,120,496,90,100,100,510,40.7486,-73.8619
,100,Brooklyn,Linden Park,0,0,120,497,90,100,100,510,40.6593,-73.8875
,100,Brooklyn,Linden Park,0,0,120,498,90,100,100,510,40.6587,-73.8867
,0,Manhattan,Bloomingdale Playground,0,0,150,499,160,115,40,465,40.7993,-73.966
,46,Manhattan,Frederick Johnson Park,0,0,130,500,158,90,72,496,40.8248,-73.9355
,105,Manhattan,Thomas Jefferson Park,0,0,108,501,217,223,186,839,40.7922,-73.9355
,105,Manhattan,Thomas Jefferson Park,0,0,108,502,217,223,186,839,40.7934,-73.934
,30,Queens,Lower Highland Playground,0,0,60,503,30,70,20,210,40.684,-73.8857
,85,Queens,Lawrence Playground,0,0,0,504,0,60,100,245,40.7484,-73.8338
,89,Staten Island,Dugan Playground,0,0,65,505,49,52,43,298,40.5614,-74.1108
,0,Staten Island,Mahoney Playground,0,0,22,506,46,37,48,153,40.6434,-74.0858
,94,Queens,Underhill Playground,0,0,40,507,38,51,35,258,40.7447,-73.7876
,94,Queens,Underhill Playground,0,0,40,508,38,51,35,258,40.6767,-73.9657
,47,Bronx,Claremont Park,0,0,41,509,39,46,0,173,40.8424,-73.9091
,47,Bronx,Claremont Park,0,0,41,510,39,46,0,173,40.8379,-73.9081
,40,Bronx,Echo Park,0,0,30,511,45,43,0,158,40.8492,-73.9013
,101,Bronx,Martin Van Buren Playground,0,0,59,512,0,83,0,243,40.8353,-73.8959
,100,Bronx,Tiffany Playground,0,0,32,513,25,45,0,202,40.8249,-73.8944
,24,Bronx,People's Park,0,0,17,514,10,16,0,67,40.8095,-73.9171
,0,Bronx,Loreto Playground,0,0,62,515,28,62,0,152,40.8491,-73.8521
,250,Manhattan,Bloomingdale Playground,0,0,80,516,0,120,65,515,40.7993,-73.966
,165,Manhattan,Thomas Jefferson Park,0,0,261,517,0,178,119,723,40.7922,-73.9355
,165,Manhattan,Thomas Jefferson Park,0,0,261,518,0,178,119,723,40.7934,-73.934
,106,Manhattan,Union Square,0,0,164,519,78,86,148,582,40.736,-73.9908
,100,Manhattan,Bloomingdale Playground,0,0,80,520,0,0,95,275,40.7993,-73.966
,65,Brooklyn,Coffey Park,0,0,49,521,77,70,69,330,40.6771,-74.009
,70,Brooklyn,Coffey Park,0,0,76,522,65,80,49,340,40.6771,-74.009
,70,Brooklyn,Owls Head Park,0,0,53,523,37,65,50,275,40.6394,-74.0308
,70,Brooklyn,Owls Head Park,0,0,53,524,37,65,50,275,40.64,-74.0305
,0,Queens,Underhill Playground,0,0,0,525,0,0,0,0,40.7447,-73.7876
,0,Queens,Underhill Playground,0,0,0,526,0,0,0,0,40.6767,-73.9657
,0,Queens,Brookville Playground,0,0,0,527,18,28,33,79,40.6632,-73.7414
,21,Queens,Brookville Playground,0,0,17,528,37,20,15,110,40.6632,-73.7414
,26,Queens,Brookville Playground,0,0,23,529,22,0,39,110,40.6632,-73.7414
,45,Queens,Lawrence Playground,0,0,0,530,85,0,125,255,40.7484,-73.8338
,31,Staten Island,Mahoney Playground,0,0,40,531,27,20,38,156,40.6434,-74.0858
,20,Queens,Lower Highland Playground,0,0,30,532,5,20,15,90,40.684,-73.8857
,33,Brooklyn,Osborn Playground,0,0,32,533,30,36,35,166,40.6557,-73.9061
,15,Bronx,Echo Park,0,0,43,534,43,28,20,149,40.8492,-73.9013
,22,Bronx,People's Park,0,0,0,535,35,42,56,155,40.8095,-73.9171
,75,Bronx,Tiffany Playground,0,0,65,536,35,55,45,275,40.8249,-73.8944
,32,Bronx,Loreto Playground,0,0,57,537,35,31,50,205,40.8491,-73.8521
,47,Bronx,Martin Van Buren Playground,0,0,67,538,50,60,0,224,40.8353,-73.8959
,34,Bronx,Claremont Park,0,0,48,539,49,53,0,184,40.8424,-73.9091
,34,Bronx,Claremont Park,0,0,48,540,49,53,0,184,40.8379,-73.9081
,45,Brooklyn,Carroll Park,0,0,65,541,35,35,50,230,40.6811,-73.9954
,50,Brooklyn,Maria Hernandez Park,0,0,55,542,40,60,45,250,40.7036,-73.9234
,50,Brooklyn,Maria Hernandez Park,0,0,55,543,40,60,45,250,40.7028,-73.9243
,162,Manhattan,Union Square,0,0,68,544,0,0,225,455,40.736,-73.9908
,205,Queens,Lower Highland Playground,0,0,135,545,168,285,310,1103,40.684,-73.8857
,43,Brooklyn,Maria Hernandez Park,0,0,67,546,50,61,70,291,40.7036,-73.9234
,43,Brooklyn,Maria Hernandez Park,0,0,67,547,50,61,70,291,40.7028,-73.9243
,40,Brooklyn,Osborn Playground,0,0,38,548,23,30,36,167,40.6557,-73.9061
,31,Brooklyn,Owls Head Park,0,0,57,549,71,0,61,220,40.6394,-74.0308
,31,Brooklyn,Owls Head Park,0,0,57,550,71,0,61,220,40.64,-74.0305
,35,Brooklyn,Carroll Park,0,50,40,551,32,41,0,198,40.6811,-73.9954
,40,Brooklyn,Maria Hernandez Park,0,0,50,552,56,0,70,216,40.7036,-73.9234
,40,Brooklyn,Maria Hernandez Park,0,0,50,553,56,0,70,216,40.7028,-73.9243
,40,Staten Island,Mahoney Playground,0,0,31,554,34,22,46,173,40.6434,-74.0858
,189,Manhattan,Union Square,0,0,0,555,134,178,225,726,40.736,-73.9908
,127,Manhattan,Frederick Johnson Park,0,0,105,556,101,107,245,685,40.8248,-73.9355
,145,Manhattan,Frederick Johnson Park,0,0,0,557,136,32,109,422,40.8248,-73.9355
,100,Manhattan,Bloomingdale Playground,0,0,0,558,115,55,40,310,40.7993,-73.966
,223,Manhattan,Union Square,0,0,187,559,203,171,225,1009,40.736,-73.9908
,90,Manhattan,Bloomingdale Playground,0,0,110,560,55,65,80,400,40.7993,-73.966
,110,Bronx,Echo Park,0,0,120,561,85,0,0,315,40.8492,-73.9013
,46,Bronx,Loreto Playground,0,0,67,562,63,0,0,176,40.8491,-73.8521
,90,Bronx,Martin Van Buren Playground,0,0,67,563,45,0,38,240,40.8353,-73.8959
,49,Bronx,Claremont Park,0,0,48,564,45,0,56,198,40.8424,-73.9091
,49,Bronx,Claremont Park,0,0,48,565,45,0,56,198,40.8379,-73.9081
,50,Bronx,Tiffany Playground,0,0,110,566,35,0,50,245,40.8249,-73.8944
,42,Bronx,People's Park,0,0,30,567,50,0,29,151,40.8095,-73.9171
,30,Brooklyn,Osborn Playground,25,0,0,568,33,35,0,123,40.6557,-73.9061
,30,Brooklyn,Osborn Playground,25,0,0,569,33,35,0,123,40.6557,-73.9061
,0,Brooklyn,Coffey Park,0,0,0,570,60,50,40,150,40.6771,-74.009
,52,Brooklyn,Owls Head Park,0,0,64,571,61,0,45,222,40.6394,-74.0308
,52,Brooklyn,Owls Head Park,0,0,64,572,61,0,45,222,40.64,-74.0305
,43,Bronx,Claremont Park,0,47,0,573,49,0,36,175,40.8424,-73.9091
,43,Bronx,Claremont Park,0,47,0,574,49,0,36,175,40.8379,-73.9081
,40,Brooklyn,Carroll Park,0,0,30,575,40,50,40,200,40.6811,-73.9954
,39,Staten Island,Mahoney Playground,0,0,0,576,43,32,40,154,40.6434,-74.0858
,25,Staten Island,Mahoney Playground,0,0,27,577,28,48,40,168,40.6434,-74.0858
,50,Bronx,Loreto Playground,0,0,0,578,54,0,58,162,40.8491,-73.8521
,50,Bronx,Echo Park,0,0,0,579,35,0,45,130,40.8492,-73.9013
,55,Bronx,Martin Van Buren Playground,0,0,0,580,80,0,0,135,40.8353,-73.8959
,27,Bronx,People's Park,0,24,0,581,16,0,25,92,40.8095,-73.9171
,60,Bronx,Tiffany Playground,0,50,0,582,53,0,50,213,40.8249,-73.8944
,76,Bronx,Martin Van Buren Playground,0,0,52,583,75,80,100,383,40.8353,-73.8959
,45,Bronx,People's Park,0,0,25,584,41,36,35,182,40.8095,-73.9171
,46,Bronx,Claremont Park,0,0,37,585,48,52,46,229,40.8424,-73.9091
,46,Bronx,Claremont Park,0,0,37,586,48,52,46,229,40.8379,-73.9081
,25,Bronx,Tiffany Playground,0,0,30,587,27,50,50,182,40.8249,-73.8944
,99,Manhattan,Frederick Johnson Park,0,0,114,588,305,85,92,695,40.8248,-73.9355
,0,Manhattan,Frederick Johnson Park,0,0,0,589,0,56,30,86,40.8248,-73.9355
,130,Manhattan,Bloomingdale Playground,0,0,390,590,140,0,0,660,40.7993,-73.966
,60,Bronx,Martin Van Buren Playground,0,0,55,591,0,0,0,115,40.8353,-73.8959
,0,Bronx,People's Park,0,0,25,592,0,0,0,25,40.8095,-73.9171
,39,Bronx,Claremont Park,0,0,47,593,49,36,0,171,40.8424,-73.9091
,39,Bronx,Claremont Park,0,0,47,594,49,36,0,171,40.8379,-73.9081
,35,Bronx,Tiffany Playground,0,0,45,595,0,25,25,130,40.8249,-73.8944
,164,Manhattan,Union Square,0,0,109,596,152,158,144,727,40.736,-73.9908
,100,Manhattan,Bloomingdale Playground,0,0,135,597,110,80,11,436,40.7993,-73.966
,56,Bronx,Martin Van Buren Playground,0,0,67,598,75,0,0,198,40.8353,-73.8959
,20,Bronx,People's Park,0,0,23,599,50,0,15,108,40.8095,-73.9171
,57,Bronx,Claremont Park,0,0,61,600,66,0,0,184,40.8424,-73.9091
,57,Bronx,Claremont Park,0,0,61,601,66,0,0,184,40.8379,-73.9081
,50,Bronx,Tiffany Playground,0,0,50,602,60,0,16,176,40.8249,-73.8944
,168,Manhattan,Union Square,0,0,37,603,180,187,225,797,40.736,-73.9908
,120,Manhattan,Bloomingdale Playground,0,0,0,604,0,0,45,165,40.7993,-73.966
,60,Bronx,Tiffany Playground,0,0,0,605,45,70,70,245,40.8249,-73.8944
,10,Bronx,People's Park,0,0,0,606,35,25,45,115,40.8095,-73.9171
,63,Bronx,Martin Van Buren Playground,0,0,0,607,87,80,92,322,40.8353,-73.8959
,59,Bronx,Claremont Park,0,0,0,608,93,69,98,319,40.8424,-73.9091
,59,Bronx,Claremont Park,0,0,0,609,93,69,98,319,40.8379,-73.9081
,150,Manhattan,Bloomingdale Playground,0,0,45,610,140,150,60,545,40.7993,-73.966
,184,Manhattan,Union Square,0,0,64,611,210,0,225,683,40.736,-73.9908
,40,Staten Island,Mahoney Playground,0,0,30,612,38,47,43,198,40.6434,-74.0858
,14,Bronx,People's Park,0,0,6,613,0,17,0,37,40.8095,-73.9171
,80,Bronx,Tiffany Playground,0,0,20,614,0,65,35,200,40.8249,-73.8944
,30,Bronx,Martin Van Buren Playground,0,0,53,615,0,78,68,229,40.8353,-73.8959
,21,Bronx,Claremont Park,0,0,63,616,0,83,107,274,40.8424,-73.9091
,21,Bronx,Claremont Park,0,0,63,617,0,83,107,274,40.8379,-73.9081
,100,Manhattan,Bloomingdale Playground,0,0,130,618,0,108,0,338,40.7993,-73.966
,80,Manhattan,Union Square,0,0,125,619,0,145,278,628,40.736,-73.9908
,54,Queens,Electric Playground,0,0,26,620,621,38,100,839,40.7359,-73.8054
,22,Staten Island,Mahoney Playground,0,0,25,621,0,34,25,106,40.6434,-74.0858
,52,Bronx,Martin Van Buren Playground,0,0,61,622,0,72,54,239,40.8353,-73.8959
,18,Bronx,People's Park,0,0,21,623,0,0,30,69,40.8095,-73.9171
,54,Bronx,Claremont Park,0,0,63,624,0,65,95,277,40.8424,-73.9091
,54,Bronx,Claremont Park,0,0,63,625,0,65,95,277,40.8379,-73.9081
,35,Bronx,Tiffany Playground,0,0,55,626,0,50,30,170,40.8249,-73.8944
,140,Manhattan,Bloomingdale Playground,0,0,110,627,125,90,30,495,40.7993,-73.966
,200,Manhattan,Union Square,0,0,210,628,110,0,120,640,40.736,-73.9908
,220,Queens,Electric Playground,0,0,146,629,38,19,96,519,40.7359,-73.8054
,70,Bronx,Tiffany Playground,0,0,50,630,70,55,0,245,40.8249,-73.8944
,81,Bronx,Claremont Park,0,0,63,631,94,85,0,323,40.8424,-73.9091
,81,Bronx,Claremont Park,0,0,63,632,94,85,0,323,40.8379,-73.9081
,40,Bronx,People's Park,0,0,25,633,35,20,0,120,40.8095,-73.9171
,72,Bronx,Martin Van Buren Playground,0,0,52,634,52,44,0,220,40.8353,-73.8959
,215,Manhattan,Union Square,0,0,250,635,168,215,0,848,40.736,-73.9908
,115,Manhattan,Bloomingdale Playground,0,0,90,636,145,140,0,490,40.7993,-73.966
,10,Bronx,People's Park,0,0,12,637,13,15,0,50,40.8095,-73.9171
,59,Bronx,Claremont Park,0,0,58,638,50,47,0,214,40.8424,-73.9091
,59,Bronx,Claremont Park,0,0,58,639,50,47,0,214,40.8379,-73.9081
,50,Bronx,Martin Van Buren Playground,0,0,30,640,37,0,0,117,40.8353,-73.8959
,50,Bronx,Tiffany Playground,0,0,90,641,65,85,0,290,40.8249,-73.8944
,20,Staten Island,Mahoney Playground,0,0,20,642,18,25,0,83,40.6434,-74.0858
,9,Bronx,People's Park,0,0,7,643,12,0,0,28,40.8095,-73.9171
,0,Bronx,Martin Van Buren Playground,0,0,15,644,15,0,0,30,40.8353,-73.8959
,0,Bronx,Claremont Park,0,0,40,645,48,0,0,88,40.8424,-73.9091
,0,Bronx,Claremont Park,0,0,40,646,48,0,0,88,40.8379,-73.9081
,40,Bronx,Tiffany Playground,0,0,25,647,25,0,0,90,40.8249,-73.8944
,28,Staten Island,Mahoney Playground,0,0,30,648,21,22,25,126,40.6434,-74.0858
,80,Manhattan,Union Square,0,0,85,649,250,0,200,615,40.736,-73.9908
,45,Manhattan,Bloomingdale Playground,0,0,95,650,135,0,100,375,40.7993,-73.966
,28,Staten Island,Mahoney Playground,0,0,30,651,21,0,0,79,40.6434,-74.0858
,75,Manhattan,Bloomingdale Playground,0,0,0,652,70,135,0,280,40.7993,-73.966
,117,Manhattan,Union Square,0,0,33,653,200,180,250,780,40.736,-73.9908
